scenario,cust_bill_A01_mean,cust_bill_A01_std,cust_bill_A02_mean,cust_bill_A02_std,cust_bill_A03_mean,cust_bill_A03_std,cust_bill_A04_mean,cust_bill_A04_std,cust_bill_A05_mean,cust_bill_A05_std,cust_bill_A06_mean,cust_bill_A06_std,cust_solar_bill_A01_mean,cust_solar_bill_A01_std,cust_solar_bill_A02_mean,cust_solar_bill_A02_std,cust_solar_bill_A03_mean,cust_solar_bill_A03_std,cust_solar_bill_A04_mean,cust_solar_bill_A04_std,cust_solar_bill_A05_mean,cust_solar_bill_A05_std,cust_solar_bill_A06_mean,cust_solar_bill_A06_std,cust_total$_A01_mean,cust_total$_A01_std,cust_total$_A02_mean,cust_total$_A02_std,cust_total$_A03_mean,cust_total$_A03_std,cust_total$_A04_mean,cust_total$_A04_std,cust_total$_A05_mean,cust_total$_A05_std,cust_total$_A06_mean,cust_total$_A06_std
1,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,
2,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,
3,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,
4,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,
5,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,431655.5989541949,,798716.5328976901,,21606.429232905,,788168.0291972576,,21606.429232905,,788168.0291972576,
