scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wzero_000,bau,72,W,0,0,0,1399.209497,0,1399.209497,0,0,0,0,21.54983524,22721.44458,0,22721.44458,0,0,0,-1432997.999,0,0,0,1.981266389,408680.4543,0,38473.9388,123464.5283,100,100,0,0,0,123464.5283,0,408678.473
1,demo_wzero_001,en_pv,72,W,18000,4195.420278,12302.55414,1156.905919,0,1156.905919,0,0,0,-1.86E-11,21.54983524,18786.73193,0,18786.73193,0,19821.47955,68411.77769,-1194427.831,102083.9581,102909.7521,-825.7940197,7094.673245,313291.822,25.0762717,35626.45886,68411.77769,93.0771062,93.0771062,23.34026804,23.34026804,0,102909.7521,0,408678.473
2,demo_wzero_002,bau,72,W,0,0,0,1368.184549,0,1368.184549,0,0,0,0,21.54983524,19936.94051,0,19936.94051,0,0,0,-1374752.814,0,0,0,1.981266389,408680.4543,0,38473.9388,118446.2281,100,100,0,0,0,118446.2281,0,408678.473
3,demo_wzero_003,en_pv,72,W,18000,4195.420278,12302.55414,1183.732347,0,1183.732347,0,0,0,0,21.54983524,17249.13601,0,17249.13601,0,19821.47955,68411.77769,-1194427.831,102477.865,102909.7521,-431.8871196,7094.673245,313291.822,25.0762717,35626.45886,68411.77769,93.0771062,93.0771062,23.34026804,23.34026804,0,102909.7521,0,408678.473
4,demo_wzero_004,en_pv,72,W,18000,4195.420278,12302.55414,1186.49807,0,1186.49807,0,0,0,1.86E-11,21.54983524,17106.6532,0,17106.6532,0,19821.47955,68411.77769,-1194427.831,102534.5142,102909.7521,-375.237892,7094.673245,313291.822,25.0762717,35626.45886,68411.77769,93.0771062,93.0771062,23.34026804,23.34026804,0,102909.7521,0,408678.473
