scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_ptonly_000,bau,72.0,W,0.0,0.0,0.0,1368.1845493008598,0.0,1368.1845493008598,0.0,0.0,0.0,0.0,21.549835236318366,19936.94051363797,0.0,19936.94051363797,0.0,0.0,0.0,-1374752.8139603746,0.0,0.0,0.0,1.9812663888888888,408680.4542791676,0.0,38473.93880243183,118446.22806329966,100.0,100.0,0.0,0.0,0.0,118446.22806329966,0.0,408678.4730127784
1,demo_ptonly_001,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1232.9214153850753,0.0,1232.9214153850753,0.0,0.0,0.0,0.0,21.549835236318366,14139.458362153284,0.0,14139.458362153284,0.0,19821.47955164598,68411.77769479262,-1194427.8311741082,102909.80026987854,102909.75210942798,0.04816045057028532,7094.67324543611,313291.8219715461,25.076271703565688,35626.45885553139,68411.77769479262,93.07710619976929,93.07710619976923,23.340268044470534,23.34026804447069,0.0,102909.75210942798,0.0,408678.4730127784
2,demo_ptonly_002,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1237.342985033757,0.0,1237.342985033757,0.0,0.0,0.0,0.0,21.549835236318366,13821.125202124222,0.0,13821.125202124222,0.0,19821.47955164598,68411.77769479262,-1194427.8311741082,102909.82012455474,102909.75210942798,0.0680151267722249,7094.67324543611,313291.8219715461,25.076271703565688,35626.45885553139,68411.77769479262,93.07710619976929,93.07710619976923,23.340268044470534,23.34026804447069,0.0,102909.75210942798,0.0,408678.4730127784
