timestamp,TIDNULL,EASO_Flat,EASO_TOU,EASO_TOU_5pc,EASO_TOU_10pc,EASO_TOU_15pc,EASO_TOU_20pc,EASO_TOU_25pc,EASO_TOU_30pc,EASO_TOU_35pc,EASO_TOU_40pc,EASO_Flat_GP,EASO_TOU_GP,TID_demand_example,tid_discount,EA025_7c,EA305_7c,EA310_7c,EA025_9.5c,EA305_9.5c,EA310_9.5c,EA025_11.5c,EA305_11.5c,EA310_11.5c,EA310_9.5c_FIT,EA310_11.5c_FIT,EA305_9.5c_FIT,EA305_11.5c_FIT,EA010,EA025,EA030,EA040,EA050,EA225,EA302,EA305,EA310,TIDXX1,EA_ES_SB_PS_TOU,EASO_BB_SB_PS_TOU,EA_BS_SB_PS_TOU,EA_FR_SB_PS_TOU,STS_15,STS_20,STS_25,STS_30,STS_35,STS_40,STC_15,STC_20,SBTd_15
2013-01-01 00:00:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 00:30:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 01:00:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 01:30:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 02:00:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 02:30:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 03:00:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 03:30:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 04:00:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
2013-01-01 04:30:00,0,32.285,16.764,15.9258,15.0876,14.2494,13.4112,12.573,11.7348,10.8966,10.0584,40.755,25.234,0.0,-4000.0,9.7045,8.3888,8.5258,12.2045,10.8888,11.0258,14.2045,12.8888,13.0258,11.0258,13.0258,10.8888,12.8888,11.2959,2.7045,1.9274,5.0894,11.0892,2.0583,1.6127,1.3888,1.5258,20.0,13.3584,16.698,14.86122,14.19,51.3315,48.312,45.2925,42.273,39.2535,36.234,14.2494,13.4112,14.2494
