scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate
0,,FALSE,,W,bau,FALSE,,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
1,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_0,EN_PTO_0,EN_P,EA305,capex_med,20,0.06
2,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_10,EN_PTO_10,EN_P,EA305,capex_med,20,0.06
3,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_20,EN_PTO_20,EN_P,EA305,capex_med,20,0.06
4,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_30,EN_PTO_30,EN_P,EA305,capex_med,20,0.06
5,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_15,EN_PTO_15,EN_P,EA305,capex_med,20,0.06
6,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_25,EN_PTO_25,EN_P,EA305,capex_med,20,0.06
7,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_35,EN_PTO_35,EN_P,EA305,capex_med,20,0.06
8,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75_50,EN_PTO_45,EN_PTO_45,EN_P,EA305,capex_med,20,0.06
