,,,943.4058372,14.83580551
Row Labels,Sum of grid_export,,above 10kWh,
803,9.984675536,9.984675536,0,
804,9.13113254,9.13113254,0,
805,6.805558707,6.805558707,0,
806,11.00770991,11.00770991,1.007709907,
807,10.71990462,10.71990462,0.719904619,
808,10.82020428,10.82020428,0.820204284,
809,10.43894666,10.43894666,0.438946659,
810,10.90913988,10.90913988,0.909139875,
811,2.619772993,2.619772993,0,
812,8.248060298,8.248060298,0,
813,1.881379713,1.881379713,0,
814,11.07918663,11.07918663,1.079186635,
815,6.342526012,6.342526012,0,
816,6.796212036,6.796212036,0,
817,9.560090167,9.560090167,0,
818,8.797835861,8.797835861,0,
819,8.755255237,8.755255237,0,
820,7.598146026,7.598146026,0,
821,10.00384802,10.00384802,0.003848022,
822,5.902873417,5.902873417,0,
823,3.037081335,3.037081335,0,
824,11.16045667,11.16045667,1.160456665,
825,12.97708114,12.97708114,2.977081142,
826,11.80852779,11.80852779,1.808527792,
827,12.35684275,12.35684275,2.356842748,
828,11.87746117,11.87746117,1.877461168,
829,12.30647094,12.30647094,2.306470938,
830,10.22129938,10.22129938,0.221299377,
831,13.43776943,13.43776943,3.437769428,
901,6.926335661,6.926335661,0,
902,2.317831244,2.317831244,0,
903,0.780672837,0.780672837,0,
904,0.978397243,0.978397243,0,
905,12.82190915,12.82190915,2.821909153,
906,11.0168226,11.0168226,1.016822603,
907,11.18145181,11.18145181,1.18145181,
908,11.81155157,11.81155157,1.811551565,
909,6.501216428,6.501216428,0,
910,5.49141938,5.49141938,0,
911,14.0804799,14.0804799,4.080479897,
912,14.68960074,14.68960074,4.689600741,
913,11.58268633,11.58268633,1.582686335,
914,4.065414639,4.065414639,0,
915,8.959146027,8.959146027,0,
916,14.87557219,14.87557219,4.875572195,
917,2.434783775,2.434783775,0,
918,5.804850613,5.804850613,0,
919,8.924297819,8.924297819,0,
920,11.94782386,11.94782386,1.947823862,
921,14.19150702,14.19150702,4.191507018,
922,13.83179535,13.83179535,3.831795351,
923,8.256541306,8.256541306,0,
924,15.68573591,15.68573591,5.685735907,
925,14.03495273,14.03495273,4.034952734,
926,17.29300188,17.29300188,7.293001881,
927,9.949471959,9.949471959,0,
928,15.88425018,15.88425018,5.884250185,
929,14.42229608,14.42229608,4.422296084,
930,16.60090038,16.60090038,6.600900375,
1001,17.11301193,17.11301193,7.113011932,
1002,16.10109446,16.10109446,6.101094463,
1003,18.14266274,18.14266274,8.142662741,
1004,18.61231789,18.61231789,8.612317894,
1005,17.08638834,17.08638834,7.086388345,
1006,16.72598206,16.72598206,6.725982065,
1007,18.02207567,18.02207567,8.02207567,
1008,10.43476715,10.43476715,0.434767153,
1009,4.064013895,4.064013895,0,
1010,18.29376181,18.29376181,8.293761811,
1011,10.45802618,10.45802618,0.458026176,
1012,15.64000661,15.64000661,5.640006615,
1013,1.76262136,1.76262136,0,
1014,12.00224536,12.00224536,2.002245363,
1015,10.28165138,10.28165138,0.281651383,
1016,18.53232526,18.53232526,8.53232526,
1017,8.320669561,8.320669561,0,
1018,5.668125317,5.668125317,0,
1019,10.96394832,10.96394832,0.963948325,
1020,16.91125138,16.91125138,6.911251382,
1021,11.3071117,11.3071117,1.307111695,
1022,12.8547271,12.8547271,2.854727096,
1023,15.9339604,15.9339604,5.933960402,
1024,7.159987592,7.159987592,0,
1025,20.02885599,20.02885599,10.02885599,
1026,15.37795413,15.37795413,5.377954126,
1027,21.45747572,21.45747572,11.45747572,
1028,21.31316423,21.31316423,11.31316423,
1029,12.99008645,12.99008645,2.990086447,
1030,2.014272884,2.014272884,0,
1031,8.624665566,8.624665566,0,
1101,19.87308057,19.87308057,9.873080571,
1102,14.64539664,14.64539664,4.645396644,
1103,4.604199126,4.604199126,0,
1104,2.779318651,2.779318651,0,
1105,6.947018044,6.947018044,0,
1106,9.797328008,9.797328008,0,
1107,14.41722261,14.41722261,4.417222609,
1108,9.977277812,9.977277812,0,
1109,9.815191215,9.815191215,0,
1110,21.90137947,21.90137947,11.90137947,
1111,21.59585703,21.59585703,11.59585703,
1112,10.73627859,10.73627859,0.736278593,
1113,13.83708026,13.83708026,3.837080261,
1114,23.09611672,23.09611672,13.09611672,
1115,18.90437235,18.90437235,8.904372354,
1116,14.7303523,14.7303523,4.730352298,
1117,23.44926808,23.44926808,13.44926808,
1118,23.77099958,23.77099958,13.77099958,
1119,20.98553666,20.98553666,10.98553666,
1120,20.20988535,20.20988535,10.20988535,
1121,12.15470133,12.15470133,2.15470133,
1122,10.37305343,10.37305343,0.373053434,
1123,20.31890459,20.31890459,10.31890459,
1124,11.73425725,11.73425725,1.734257252,
1125,21.03205763,21.03205763,11.03205763,
1126,14.51545872,14.51545872,4.515458724,
1127,5.793622729,5.793622729,0,
1128,19.92477827,19.92477827,9.924778271,
1129,20.61379008,20.61379008,10.61379008,
1130,17.63777396,17.63777396,7.637773958,
1201,17.02861832,17.02861832,7.028618324,
1202,21.51519471,21.51519471,11.51519471,
1203,6.150416008,6.150416008,0,
1204,11.62078378,11.62078378,1.620783778,
1205,15.49467783,15.49467783,5.494677828,
1206,14.69734517,14.69734517,4.697345169,
1207,8.891092615,8.891092615,0,
1208,16.63321435,16.63321435,6.633214347,
1209,20.46978925,20.46978925,10.46978925,
1210,5.518395344,5.518395344,0,
1211,3.094076167,3.094076167,0,
1212,2.256067003,2.256067003,0,
1213,11.93724994,11.93724994,1.937249945,
1214,16.87456639,16.87456639,6.874566393,
1215,18.12866126,18.12866126,8.128661257,
1216,24.44149731,24.44149731,14.44149731,
1217,7.793694213,7.793694213,0,
1218,19.16252269,19.16252269,9.162522689,
1219,21.80890848,21.80890848,11.80890848,
1220,12.70499437,12.70499437,2.704994374,
1221,18.79436324,18.79436324,8.794363243,
1222,23.80744052,23.80744052,13.80744052,
1223,10.45026607,10.45026607,0.45026607,
1224,2.774021607,2.774021607,0,
1225,14.21535285,14.21535285,4.215352848,
1226,21.60720013,21.60720013,11.60720013,
1227,9.009827723,9.009827723,0,
1228,16.08080918,16.08080918,6.080809185,
1229,15.91185514,15.91185514,5.911855136,
1230,19.49269572,19.49269572,9.492695725,
1231,14.61779944,14.61779944,4.617799436,
(blank),,,0,
Grand Total,3882.177712,,0,
