scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
1,1_001,bau,6.0,hugh,0.0,0.0,0.0,474986.84145203506,0.0,474986.84145203506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478254.57378698996,0.0,-33077769.08850319,0.0,0.0,0.0,0.0,10378882.836,0.0,764808.94884765,2849921.0487122103,100.0,100.0,0.0,0.0,0.0,2849921.0487122103,0.0,10378882.835999979
2,1_002,en,6.0,hugh,0.0,0.0,0.0,474986.84145203506,0.0,474986.84145203506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478254.57378698996,1915711.1731684823,-22234809.57655524,2849921.0487122103,1915711.1731684823,934209.8755437279,0.0,10378882.836000001,0.0,764808.94884765,1915711.1731684823,100.0,100.0,0.0,0.0,0.0,1915711.1731684823,0.0,10378882.835999979
3,1_003,en,6.0,hugh,0.0,0.0,0.0,474986.84145203506,0.0,474986.84145203506,99.99619482496195,104.0,0.27777777777777773,0.0,0.0,0.0,0.0,0.0,8941.059609807598,478254.57378698996,1915701.960484482,-22338477.560718946,2849921.0487122103,1924643.0200942897,925278.0286179202,0.0,10378830.836000001,0.0,764806.4326196499,1915701.960484482,100.0,100.0,0.0,0.0,0.0,1924643.0200942897,0.0,10378882.835999979
4,1_004,en_pv,6.0,hugh,0.0,0.0,52442.753480602245,474986.84145203506,0.0,474986.84145203506,95.92315620536232,104.0,297.6095970085502,0.0,0.0,0.0,0.0,0.0,8941.059609807598,357991.1435301863,985988.4270311068,-12156384.866908055,2849921.0487122103,1047372.2401215166,1802548.8085906934,2140738.7384764045,4660968.918308,75.75035266552848,490279.1640218155,985988.4270311068,72.72811716052819,72.77120641843499,55.09180523609884,55.09180523609864,0.0,1047372.2401215166,3439.69484359557,10378882.835999979
5,1_005,en_pv,6.0,hugh,0.0,0.0,52442.753480602245,474986.84145203506,0.0,474986.84145203506,0.0,0.0,0.0,-2.9802322387695313e-10,0.0,0.0,0.0,0.0,0.0,362242.2774390264,994626.2956449086,-12152865.863544738,2849921.0487122103,1047069.0491255107,1802851.9995866993,2172008.6915999996,4688851.176588,75.75035266552848,495620.42087194085,994626.2956449086,72.37347311095381,72.37347311095367,54.82316111783895,54.82316111783874,0.0,1047069.0491255111,0.0,10378882.835999979
