scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
1,w_en_check_001,bau,72.0,W_2,0.0,0.0,0.0,1638.2062699983203,0.0,1638.2062699983203,0.0,0.0,0.0,0.0,21.543855564468295,24035.853539908334,0.0,24035.853539908334,0.0,0.0,0.0,-1647976.6845053763,0.0,0.0,0.0,1.9812663888888888,408793.8863040657,0.0,38480.53283290326,141986.7049797874,100.0,100.0,0.0,0.0,0.0,141986.7049797874,0.0,408791.90503767715
2,w_en_check_002,en,72.0,W_2,18000.0,4195.4202784481795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.543855564468295,0.0,0.0,0.0,0.0,20021.679874643247,76743.79196063636,-1148343.5366469803,0.0,98939.21223908455,-98939.21223908455,0.0,408791.90503767674,0.0,38480.53283290326,76743.79196063636,100.0,100.0,0.0,0.0,0.0,98939.21223908455,0.0,408791.90503767715
3,w_en_check_003,en_pv,72.0,W_2,18000.0,4195.4202784481795,23784.937996628556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.543855564468295,0.0,0.0,0.0,0.0,20021.679874643247,60100.20734474914,-1231230.0566838423,0.0,106080.56561982587,-106080.56561982587,63855.06742453812,274516.4121746573,48.46733945705111,34476.91185399212,60100.20734474914,67.77121745789172,67.7712174578914,32.846906019492664,32.84690601949275,0.0,106080.56561982587,0.0,408791.90503767715
4,w_en_check_004,en_pv,72.0,W_2,18000.0,4195.4202784481795,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.543855564468295,0.0,0.0,0.0,0.0,20021.679874643247,64366.99308322297,-1147481.8108783206,0.0,98864.96749785834,-98864.96749785834,10465.239760301261,308691.37701920705,27.046956267047435,35539.46767860947,64366.99308322297,90.53482830125087,90.53482830125053,24.486915417085804,24.486915417085896,0.0,98864.96749785834,0.0,408791.90503767715
5,w_en_check_005,en_pv,72.0,W_2,18000.0,4195.4202784481795,23784.937996628556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.543855564468295,0.0,0.0,0.0,0.0,20021.679874643247,60074.01247675907,-1230926.0244738732,0.0,106054.37075183581,-106054.37075183581,78896.57381548882,273927.994480875,52.29078211629198,34508.80035650886,60074.01247675907,63.09113256027208,63.09113256027225,32.990846661792816,32.990846661792915,0.0,106054.37075183581,0.0,408791.90503767715
6,w_en_check_006,en_pv,72.0,W_2,18000.0,4195.4202784481795,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.543855564468295,0.0,0.0,0.0,0.0,20021.679874643247,64906.075129381206,-1153738.6969947407,0.0,99404.04954401657,-99404.04954401657,7088.569048179039,313399.1497991881,25.069313512267883,35632.698036807866,64906.075129381206,93.08306259943487,93.08306259943478,23.335284789872894,23.335284789872972,0.0,99404.04954401657,0.0,408791.90503767715
